title,author,index,category,year,comment,found
Bezpieczna turystyka w górach. Dodatek do Gazety Wyborczej,TOPR,CD-1,Podręczniki,2003,,Nie
Climbing Europe. Dodatek do Biuletynu UKA 6(2004),UKA,CD-2,Przewodniki niegórskie,2004,,Nie
Podtatrze - jesień'78,Rada Narodowa Miasta Zakopanego i Gminy Tatrzańskiej,CZ-1,Czasopisma,1978 Zakopane,,Nie
Taternik 1922 z. 3-4,PZA,CZ-10,Czasopisma,1922 Zakopane,,Nie
Magury 1988,SKPB Warszawa,CZ-100,Czasopisma,Warszawa,,Nie
Magury 1989,SKPB Warszawa,CZ-101,Czasopisma,Warszawa,,Nie
Magury 1989,SKPB Warszawa,CZ-102,Czasopisma,Warszawa,,Nie
Magury 1989,SKPB Warszawa,CZ-103,Czasopisma,Warszawa,,Nie
Magury 1991,SKPB Warszawa,CZ-104,Czasopisma,1992 Warszawa,,Nie
Magury 1992,SKPB Warszawa,CZ-105,Czasopisma,Warszawa,,Nie
Płaj 1 (1986),SKPB Warszawa,CZ-106,Czasopisma,Warszawa,,Nie
Płaj 1 (1986),SKPB Warszawa,CZ-107,Czasopisma,Warszawa,,Nie
Płaj 1 (1986),SKPB Warszawa,CZ-108,Czasopisma,Warszawa,,Nie
Płaj 1 (1986),SKPB Warszawa,CZ-109,Czasopisma,Warszawa,,Nie
Taternik 1922 z. 3-4,PZA,CZ-11,Czasopisma,1922 Zakopane,,Nie
Płaj 1 (1986),SKPB Warszawa,CZ-110,Czasopisma,Warszawa,,Nie
Płaj 2 (1988),SKPB Warszawa,CZ-111,Czasopisma,Warszawa,,Nie
Karkonosz (2) 1986,SKPS,CZ-112,Czasopisma,Wrocław,,Nie
Karkonosz (3) 1987,SKPS,CZ-113,Czasopisma,Wrocław,,Nie
Karkonosz (4) 1988,SKPS,CZ-114,Czasopisma,Wrocław,,Nie
Karkonosz (5) 1991,SKPS,CZ-115,Czasopisma,Wrocław,,Nie
Harnaś (10) 1984,"SKPG ""Harnasie""",CZ-116,Czasopisma,Gliwice,,Nie
Harnaś (11) 1985,"SKPG ""Harnasie""",CZ-117,Czasopisma,Gliwice,,Nie
Pielgrzymy 1987,Nie podano,CZ-118,Czasopisma,Wrocław,,Nie
Informator krajoznawczy 1973 lipiec,PTTK Wrocław,CZ-119,Czasopisma,Wrocław,,Nie
Taternik 1956 z. 1-2,PZA,CZ-12,Czasopisma,Warszawa,,Nie
Informator krajoznawczy 1973 październik-grudzień,PTTK Wrocław,CZ-120,Czasopisma,Wrocław,,Nie
Bularz 1984 jesień,"KW Gliwice, AKA",CZ-121,Czasopisma,Gliwice,,Nie
"Bularz 1984/85, 85/86 zimy","KW Gliwice, AKA",CZ-122,Czasopisma,Gliwice,,Nie
Buka (6) 2004,UKA,CZ-123,Czasopisma,Warszawa,,Nie
Buka (6) 2004,UKA,CZ-124,Czasopisma,Warszawa,,Nie
Optymista 7 (1990),KW Katowice,CZ-125,Czasopisma,Katowice,,Nie
Optymista  9 (1990),KW Katowice,CZ-126,Czasopisma,Katowice,,Nie
Optymista 10 (1991),KW Katowice,CZ-127,Czasopisma,Katowice,,Nie
N.p.m. 2001 nr 3,DW Kruszona,CZ-128,Czasopisma,Poznań,,Nie
N.p.m. 2001 nr 4,DW Kruszona,CZ-129,Czasopisma,Poznań,,Nie
Taternik 1957 z. 3,PZA,CZ-13,Czasopisma,Warszawa,,Nie
N.p.m. 2001 nr 5,DW Kruszona,CZ-130,Czasopisma,Poznań,,Nie
